"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-01","1989","01","01","","-6.5","","-23.2","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-02","1989","01","02","","-1.8","","-7.2","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","10","","28","","52",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-03","1989","01","03","","-2.8","","-8.7","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-04","1989","01","04","","-0.6","","-8.9","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-05","1989","01","05","","-8.0","","-16.5","","-12.3","","30.3","","0.0","","0.0","","1.8","","1.2","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-06","1989","01","06","","-16.5","","-21.2","","-18.9","","36.9","","0.0","","0.0","","1.9","","1.9","","12","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-07","1989","01","07","","-19.5","","-27.1","","-23.3","","41.3","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-08","1989","01","08","","-24.6","","-30.2","","-27.4","","45.4","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-09","1989","01","09","","-20.4","","-29.9","","-25.2","","43.2","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-10","1989","01","10","","-10.7","","-25.0","","-17.9","","35.9","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-11","1989","01","11","","-3.4","","-12.8","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-12","1989","01","12","","4.7","","-10.3","","-2.8","","20.8","","0.0","","0.0","","0.4","","0.4","","12","","22","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-13","1989","01","13","","5.2","","-8.0","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","12","","29","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-14","1989","01","14","","-7.0","","-13.0","","-10.0","","28.0","","0.0","","0.0","","0.2","","0.2","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-15","1989","01","15","","-0.9","","-13.9","","-7.4","","25.4","","0.0","","0.0","","1.2","","0.6","","10","","29","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-16","1989","01","16","","-1.0","","-7.2","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","10","","28","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-17","1989","01","17","","2.3","","-7.5","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","10","","29","","67",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-18","1989","01","18","","3.3","","-5.2","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","10","","28","","52",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-19","1989","01","19","","-0.2","","-6.9","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","9","","17","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-20","1989","01","20","","6.5","","-6.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","9","","31","","54",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-21","1989","01","21","","1.8","","-7.8","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-22","1989","01","22","","-3.2","","-14.3","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-23","1989","01","23","","-6.0","","-15.2","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-24","1989","01","24","","-4.4","","-14.6","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","8","","17","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-25","1989","01","25","","3.9","","-10.5","","-3.3","","21.3","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-26","1989","01","26","","10.2","","0.6","","5.4","","12.6","","0.0","","0.0","","0.0","","0.0","","8","","22","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1989-01-27","1989","01","27","","10.7","","-3.7","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","5","","33","","70",""
