"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-01","1957","01","01","","-1.7","","-6.1","","-3.9","","21.9","","0.0","","0.0","","1.5","","1.5","","0","T","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-02","1957","01","02","","-5.0","","-13.3","","-9.2","","27.2","","0.0","","0.0","","0.8","","0.8","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-03","1957","01","03","","-8.3","","-14.4","","-11.4","","29.4","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-04","1957","01","04","","-4.4","","-16.1","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-05","1957","01","05","","1.1","","-10.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","3","","32","","56",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-06","1957","01","06","","0.0","","-6.1","","-3.1","","21.1","","0.0","","0.0","","0.0","T","0.0","T","3","","32","","45",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-07","1957","01","07","","-12.8","","-25.6","","-19.2","","37.2","","0.0","","0.0","","3.0","","3.0","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-08","1957","01","08","","-23.9","","-27.8","","-25.9","","43.9","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-09","1957","01","09","","-20.6","","-30.0","","-25.3","","43.3","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-10","1957","01","10","","-21.1","","-26.1","","-23.6","","41.6","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-11","1957","01","11","","-22.2","","-29.4","","-25.8","","43.8","","0.0","","0.0","","0.3","","0.3","","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-12","1957","01","12","","-18.9","","-28.3","","-23.6","","41.6","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-13","1957","01","13","","-8.3","","-28.3","","-18.3","","36.3","","0.0","","0.0","","0.0","T","0.0","T","5","","36","","55",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-14","1957","01","14","","-14.4","","-18.9","","-16.7","","34.7","","0.0","","0.0","","0.0","T","0.0","T","5","","32","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-15","1957","01","15","","-4.4","","-21.1","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","5","","32","","42",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-16","1957","01","16","","-1.1","","-12.8","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","3","","32","","43",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-17","1957","01","17","","1.1","","-10.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","3","","32","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-18","1957","01","18","","-3.3","","-15.0","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-19","1957","01","19","","-7.2","","-13.9","","-10.6","","28.6","","0.0","","0.0","","0.3","","0.3","","3","","36","","42",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-20","1957","01","20","","-12.8","","-16.1","","-14.5","","32.5","","0.0","","0.0","","1.0","","1.0","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-21","1957","01","21","","-17.2","","-21.1","","-19.2","","37.2","","0.0","","0.0","","0.0","T","0.0","T","3","","36","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-22","1957","01","22","","-20.0","","-27.2","","-23.6","","41.6","","0.0","","0.0","","0.0","T","0.0","T","3","","36","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-23","1957","01","23","","-20.6","","-28.9","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-24","1957","01","24","","-22.2","","-29.4","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-25","1957","01","25","","-10.0","","-29.4","","-19.7","","37.7","","0.0","","0.0","","0.0","T","0.0","T","3","","29","","43",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-26","1957","01","26","","-5.0","","-12.8","","-8.9","","26.9","","0.0","","0.0","","0.0","T","0.0","T","3","","32","","45",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-27","1957","01","27","","-3.3","","-10.0","","-6.7","","24.7","","0.0","","0.0","","4.1","","4.1","","3","","34","","53",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-28","1957","01","28","","-9.4","","-15.6","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-29","1957","01","29","","-4.4","","-13.3","","-8.9","","26.9","","0.0","","0.0","","0.5","","0.5","","8","","36","","45",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1957-01-30","1957","01","30","","-8.3","","-12.2","","-10.3","","28.3","","0.0","","0.0","","2.0","","2.0","","8","","","","<31",""
