"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-01","1975","01","01","","2.8","","-3.3","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","8","","29","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-02","1975","01","02","","-2.8","","-9.4","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-03","1975","01","03","","1.1","","-9.4","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","8","","29","","68",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-04","1975","01","04","","-6.7","","-13.3","","-10.0","","28.0","","0.0","","0.0","","0.5","","0.3","","8","","14","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-05","1975","01","05","","-5.6","","-16.1","","-10.9","","28.9","","0.0","","0.0","","0.0","","0.0","","8","","11","","60",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-06","1975","01","06","","-7.8","","-16.7","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-07","1975","01","07","","-16.1","","-23.3","","-19.7","","37.7","","0.0","","0.0","","2.5","","2.3","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-08","1975","01","08","","-19.4","","-23.9","","-21.7","","39.7","","0.0","","0.0","","2.8","","2.8","","10","","29","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-09","1975","01","09","","-23.9","","-28.9","","-26.4","","44.4","","0.0","","0.0","","0.5","","0.5","","10","","27","","47",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-10","1975","01","10","","-25.6","","-32.2","","-28.9","","46.9","","0.0","","0.0","","0.0","T","0.0","T","10","","27","","42",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-11","1975","01","11","","-21.7","","-27.2","","-24.5","","42.5","","0.0","","0.0","","0.0","T","0.0","T","10","","29","","43",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-12","1975","01","12","","-6.7","","-21.7","","-14.2","","32.2","","0.0","","0.0","","1.3","","1.0","","10","","14","","51",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-13","1975","01","13","","0.0","","-8.3","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","10","","27","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-14","1975","01","14","","-1.1","","-8.3","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","10","","29","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-15","1975","01","15","","-3.3","","-11.1","","-7.2","","25.2","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-16","1975","01","16","","-2.8","","-12.2","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-17","1975","01","17","","3.9","","-8.9","","-2.5","","20.5","","0.0","","0.0","","0.8","","0.5","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-18","1975","01","18","","0.6","","-12.2","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-19","1975","01","19","","5.0","","-8.9","","-2.0","","20.0","","0.0","","3.3","","0.0","","3.3","","8","","29","","64",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-20","1975","01","20","","5.0","","-0.6","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","3","","29","","74",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-21","1975","01","21","","0.6","","-5.0","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","3","","27","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-22","1975","01","22","","3.9","","-3.9","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-23","1975","01","23","","3.9","","-4.4","","-0.3","","18.3","","0.0","","0.0","T","0.0","T","0.0","T","3","","27","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-24","1975","01","24","","4.4","","-4.4","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","3","","29","","32",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-25","1975","01","25","","0.6","","-10.0","","-4.7","","22.7","","0.0","","0.0","","0.5","","0.5","","3","","34","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-26","1975","01","26","","-7.8","","-10.6","","-9.2","","27.2","","0.0","","0.0","","0.3","","0.0","T","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-27","1975","01","27","","-4.4","","-13.9","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-28","1975","01","28","","-6.7","","-16.7","","-11.7","","29.7","","0.0","","0.0","","1.5","","1.3","","3","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-29","1975","01","29","","-10.0","","-17.2","","-13.6","","31.6","","0.0","","0.0","","0.5","","0.3","","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-30","1975","01","30","","-10.0","","-18.3","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-01-31","1975","01","31","","-15.6","","-20.6","","-18.1","","36.1","","0.0","","0.0","","1.3","","0.5","","5","","5","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1975-02-01","1975","02","01","","-18.9","","-20.6","","-19.8","","37.8","","0.0","","0.0","","2.5","","2.3","","5","","5","","32",""
