"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-01","1987","01","01","","-1.1","","-9.6","","-5.4","","23.4","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-02","1987","01","02","","2.6","","-6.3","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-03","1987","01","03","","-0.9","","-6.9","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-04","1987","01","04","","2.6","","-6.8","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","7","","29","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-05","1987","01","05","","-2.6","","-10.9","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-06","1987","01","06","","-2.2","","-10.9","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-07","1987","01","07","","-0.4","","-10.8","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-08","1987","01","08","","-1.4","","-9.7","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-09","1987","01","09","","0.7","","-10.9","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-10","1987","01","10","","6.4","","-4.2","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-11","1987","01","11","","9.3","","-3.8","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-12","1987","01","12","","3.2","","-3.9","","-0.4","","18.4","","0.0","","1.6","","0.2","","1.8","","5","","29","","33",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-13","1987","01","13","","2.0","","-14.4","","-6.2","","24.2","","0.0","","0.0","","1.8","","1.8","","5","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-14","1987","01","14","","-11.2","","-16.9","","-14.1","","32.1","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-15","1987","01","15","","-3.6","","-17.4","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-16","1987","01","16","","-3.9","","-9.9","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-17","1987","01","17","","4.4","","-7.2","","-1.4","","19.4","","0.0","","0.2","","1.6","","1.8","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-18","1987","01","18","","5.2","","-3.7","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","8","","30","","72",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-19","1987","01","19","","-2.6","","-6.5","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","8","","30","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-20","1987","01","20","","4.8","","-5.5","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","8","","31","","74",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-21","1987","01","21","","-0.1","","-8.0","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-22","1987","01","22","","0.2","","-12.7","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-23","1987","01","23","","-1.1","","-10.2","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-24","1987","01","24","","-6.1","","-13.3","","-9.7","","27.7","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-25","1987","01","25","","2.3","","-12.9","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-26","1987","01","26","","0.7","","-9.8","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-27","1987","01","27","","-1.4","","-12.1","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-28","1987","01","28","","-0.5","","-8.7","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-29","1987","01","29","","1.5","","-8.9","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-30","1987","01","30","","0.8","","-9.3","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-01-31","1987","01","31","","3.2","","-7.5","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-02-01","1987","02","01","","-1.8","","-10.4","","-6.1","","24.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-02-02","1987","02","02","","1.8","","-11.1","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-02-03","1987","02","03","","-1.6","","-12.2","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-02-04","1987","02","04","","4.1","","-8.9","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-02-05","1987","02","05","","5.5","","-2.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1987-02-06","1987","02","06","","7.5","","-3.4","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
