"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-01","1964","01","01","","5.6","","-0.6","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","T","29","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-02","1964","01","02","","2.2","","-3.3","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","71",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-03","1964","01","03","","3.3","","-4.4","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-04","1964","01","04","","0.0","","-6.7","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","0","T","29","","43",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-05","1964","01","05","","-0.6","","-9.4","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-06","1964","01","06","","0.0","","-11.7","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-07","1964","01","07","","-5.0","","-15.6","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","42",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-08","1964","01","08","","-11.1","","-18.9","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-09","1964","01","09","","-8.3","","-13.3","","-10.8","","28.8","","0.0","","0.0","","3.6","","2.5","","0","T","14","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1964-01-10","1964","01","10","","-13.3","","-16.7","","-15.0","","33.0","","0.0","","0.0","","3.3","","1.8","","5","","","","<31",""
