"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-01","1970","01","01","","-2.8","","-11.1","","-7.0","","25.0","","0.0","","0.0","","1.0","","0.8","","13","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-02","1970","01","02","","-1.1","","-5.0","","-3.1","","21.1","","0.0","","0.0","","2.3","","2.5","","13","","29","","51",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-03","1970","01","03","","-3.9","","-13.3","","-8.6","","26.6","","0.0","","0.0","","1.3","","0.8","","15","","36","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-04","1970","01","04","","-12.8","","-20.0","","-16.4","","34.4","","0.0","","0.0","","1.0","","1.0","","15","","34","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-05","1970","01","05","","-19.4","","-22.8","","-21.1","","39.1","","0.0","","0.0","","0.3","","0.3","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-06","1970","01","06","","-20.0","","-25.6","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-07","1970","01","07","","-21.1","","-28.9","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-08","1970","01","08","","-16.7","","-25.0","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","15","","14","","40",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-09","1970","01","09","","-20.0","","-23.9","","-22.0","","40.0","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-10","1970","01","10","","-19.4","","-23.9","","-21.7","","39.7","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","40",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-11","1970","01","11","","-21.7","","-27.8","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","15","","29","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-12","1970","01","12","","-25.6","","-28.3","","-27.0","","45.0","","0.0","","0.0","","0.5","","0.3","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-13","1970","01","13","","-26.7","","-30.0","","-28.4","","46.4","","0.0","","0.0","","0.8","","0.8","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-14","1970","01","14","","-25.6","","-28.3","","-27.0","","45.0","","0.0","","0.0","","3.3","","2.3","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-15","1970","01","15","","-27.2","","-33.3","","-30.3","","48.3","","0.0","","0.0","","0.0","T","0.0","T","18","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-16","1970","01","16","","-29.4","","-37.8","","-33.6","","51.6","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-17","1970","01","17","","-27.8","","-35.6","","-31.7","","49.7","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-18","1970","01","18","","-23.3","","-34.4","","-28.9","","46.9","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-19","1970","01","19","","-15.0","","-30.6","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","18","","16","","37",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-20","1970","01","20","","-11.1","","-15.6","","-13.4","","31.4","","0.0","","0.0","","0.3","","0.3","","18","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-21","1970","01","21","","-10.6","","-16.1","","-13.4","","31.4","","0.0","","0.0","","0.5","","0.5","","18","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-22","1970","01","22","","-1.1","","-11.1","","-6.1","","24.1","","0.0","","0.0","","3.6","","2.5","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-23","1970","01","23","","1.1","","-10.0","","-4.5","","22.5","","0.0","","0.0","T","0.0","T","0.0","T","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-24","1970","01","24","","-0.6","","-8.9","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-25","1970","01","25","","-7.8","","-10.6","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-26","1970","01","26","","0.0","","-11.7","","-5.9","","23.9","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-27","1970","01","27","","-7.8","","-14.4","","-11.1","","29.1","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-28","1970","01","28","","-2.2","","-11.7","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","20","","23","","32",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-29","1970","01","29","","4.4","","-8.9","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","20","","23","","45",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-30","1970","01","30","","6.1","","-1.1","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","20","","27","","55",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-01-31","1970","01","31","","3.3","","-18.3","","-7.5","","25.5","","0.0","","0.0","","3.6","","2.8","","18","","36","","47",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-01","1970","02","01","","-17.8","","-23.9","","-20.9","","38.9","","0.0","","0.0","","2.3","","1.8","","20","","36","","53",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-02","1970","02","02","","-13.9","","-23.9","","-18.9","","36.9","","0.0","","0.0","","0.3","","0.3","","20","","18","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-03","1970","02","03","","1.7","","-13.9","","-6.1","","24.1","","0.0","","0.0","","0.5","","0.3","","20","","29","","71",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-04","1970","02","04","","2.8","","-5.0","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","20","","27","","43",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-05","1970","02","05","","3.3","","-6.7","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-06","1970","02","06","","3.3","","-8.3","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1970-02-07","1970","02","07","","2.8","","-7.8","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
