"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-01","1972","01","01","","-3.3","","-6.1","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","18","","27","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-02","1972","01","02","","-6.1","","-15.0","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","18","","34","","60",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-03","1972","01","03","","-14.4","","-18.9","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-04","1972","01","04","","-2.8","","-16.7","","-9.8","","27.8","","0.0","","0.0","","1.3","","0.8","","15","","32","","40",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-05","1972","01","05","","2.2","","-7.8","","-2.8","","20.8","","0.0","","0.0","","0.8","","0.8","","15","","32","","114",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-06","1972","01","06","","1.7","","-5.6","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","15","","29","","68",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-07","1972","01","07","","-5.0","","-12.8","","-8.9","","26.9","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-08","1972","01","08","","-4.4","","-12.8","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","15","","18","","51",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-09","1972","01","09","","-0.6","","-7.8","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","15","","27","","93",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-10","1972","01","10","","-6.7","","-18.9","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","50",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-11","1972","01","11","","-7.8","","-27.2","","-17.5","","35.5","","0.0","","0.0","","1.3","","1.3","","15","","36","","68",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-12","1972","01","12","","-27.2","","-31.1","","-29.2","","47.2","","0.0","","0.0","","0.0","T","0.0","T","15","","34","","48",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-13","1972","01","13","","-28.3","","-33.3","","-30.8","","48.8","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-14","1972","01","14","","-16.7","","-34.4","","-25.6","","43.6","","0.0","","0.0","","1.8","","1.5","","15","","18","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-15","1972","01","15","","5.6","","-16.7","","-5.6","","23.6","","0.0","","0.0","T","0.8","","0.8","","15","","18","","31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-16","1972","01","16","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","T","0.5","","0.5","","13","","34","","56",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-17","1972","01","17","","-1.1","","-29.4","","-15.3","","33.3","","0.0","","0.0","","8.1","","7.1","","18","","34","","89",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-18","1972","01","18","","-28.9","","-32.8","","-30.9","","48.9","","0.0","","0.0","","0.0","T","0.0","T","18","","34","","47",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-19","1972","01","19","","-28.3","","-33.3","","-30.8","","48.8","","0.0","","0.0","","0.8","","0.8","","18","","27","","34",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-20","1972","01","20","","-23.9","","-30.0","","-27.0","","45.0","","0.0","","0.0","","1.8","","1.5","","18","","14","","51",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-21","1972","01","21","","-22.8","","-28.3","","-25.6","","43.6","","0.0","","0.0","","1.0","","1.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-22","1972","01","22","","-22.2","","-26.1","","-24.2","","42.2","","0.0","","0.0","","2.0","","2.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-23","1972","01","23","","-25.6","","-31.7","","-28.7","","46.7","","0.0","","0.0","","0.0","T","0.0","T","23","","32","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-24","1972","01","24","","-28.9","","-33.9","","-31.4","","49.4","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-25","1972","01","25","","-31.7","","-38.9","","-35.3","","53.3","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-26","1972","01","26","","-30.0","","-41.1","","-35.6","","53.6","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-27","1972","01","27","","-18.3","","-37.2","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1972-01-28","1972","01","28","","-4.4","","-18.3","","-11.4","","29.4","","0.0","","0.0","","3.3","","2.8","","23","","32","","74",""
